regency,province,n_fires,area_km2,per_1000km2
Ketapang,West Kalimantan,3736,38860,96.1
Pulang Pisau,Central Kalimantan,3184,11975,265.9
Kapuas,Central Kalimantan,1839,21152,86.9
Kota Palangka Raya,Central Kalimantan,1810,3210,563.9
Kotawaringin Timur,Central Kalimantan,1672,19726,84.8
Seruyan,Central Kalimantan,1376,21067,65.3
Katingan,Central Kalimantan,1330,24231,54.9
Kayong Utara,West Kalimantan,907,6119,148.2
Berau,East Kalimantan,893,26305,33.9
Sukamara,Central Kalimantan,776,4243,182.9
Kotawaringin Barat,Central Kalimantan,600,10713,56
Kubu Raya,West Kalimantan,564,11479,49.1
Kutai Kartanegara,East Kalimantan,402,29792,13.5
Melawi,West Kalimantan,372,12827,29
Paser,East Kalimantan,347,12622,27.5
Lamandau,Central Kalimantan,314,9420,33.3
Kutai Timur,East Kalimantan,299,36818,8.1
Hulu Sungai Selatan,South Kalimantan,275,2044,134.5
Banjar,South Kalimantan,271,5701,47.5
Tapin,South Kalimantan,250,2646,94.5
Barito Selatan,Central Kalimantan,240,8029,29.9
Gunung Mas,Central Kalimantan,225,12515,18
Sintang,West Kalimantan,164,28488,5.8
Bulungan,North Kalimantan,149,14893,10
Kota Baru,South Kalimantan,143,10904,13.1
Sambas,West Kalimantan,138,7796,17.7
Tanah Laut,South Kalimantan,138,4649,29.7
Barito Kuala,South Kalimantan,136,2893,47
Hulu Sungai Utara,South Kalimantan,109,1074,101.5
Kutai Barat,East Kalimantan,104,16304,6.4
Sekadau,West Kalimantan,102,7402,13.8
Sanggau,West Kalimantan,101,16731,6
Kota Banjar Baru,South Kalimantan,66,392,168.4
Hulu Sungai Tengah,South Kalimantan,59,1994,29.6
Kapuas Hulu,West Kalimantan,59,39047,1.5
Tanah Bumbu,South Kalimantan,56,5627,10
Barito Timur,Central Kalimantan,51,3970,12.8
Balangan,South Kalimantan,47,2276,20.7
Murung Raya,Central Kalimantan,39,29200,1.3
Tabalong,South Kalimantan,39,3788,10.3
Mempawah,West Kalimantan,38,2694,14.1
Kota Samarinda,East Kalimantan,28,847,33.1
Mahakam Hulu,East Kalimantan,22,21957,1
Landak,West Kalimantan,14,10966,1.3
Barito Utara,Central Kalimantan,13,11986,1.1
Bengkayang,West Kalimantan,9,7516,1.2
Kota Bontang,East Kalimantan,9,193,46.6
Kota Balikpapan,East Kalimantan,7,637,11
Penajam Paser Utara,East Kalimantan,5,3814,1.3
Kota Singkawang,West Kalimantan,3,608,4.9
Malinau,North Kalimantan,2,47705,0
